# Merged GW transfer function
# Convention: T_Omega(k) = Omega_GW,0 / P_T
# h used for convention conversion = 0.675
# Kite used below k = 1.00000000e+08 Mpc^-1
# Saikawa-Shirai used above k = 1.00000000e+08 Mpc^-1
# 
# Columns:
# 1: k [Mpc^-1]
# 2: f [Hz]
# 3: Omega_GW / P_T
1.5781272965458365e-02 2.4402387609769072e-17 4.5032575539383552e-06
1.5819213396650982e-02 2.4461054430251197e-17 4.4975452411515814e-06
1.5857245042051871e-02 2.4519862294137788e-17 4.4918401743455108e-06
1.5895368120952998e-02 2.4578811540517298e-17 4.4861423443287364e-06
1.5933582853173554e-02 2.4637902509293432e-17 4.4804517419215031e-06
1.5971889459061167e-02 2.4697135541187008e-17 4.4747683579556990e-06
1.6010288159493253e-02 2.4756510977738045e-17 4.4690921832748430e-06
1.6048779175878228e-02 2.4816029161307644e-17 4.4634232087340682e-06
1.6087362730156811e-02 2.4875690435080005e-17 4.4577614252001074e-06
1.6126039044803298e-02 2.4935495143064380e-17 4.4521068235512880e-06
1.6164808342826846e-02 2.4995443630097078e-17 4.4464593946774828e-06
1.6203670847772751e-02 2.5055536241843434e-17 4.4408191294801459e-06
1.6242626783723759e-02 2.5115773324799829e-17 4.4351860188722637e-06
1.6281676375301323e-02 2.5176155226295646e-17 4.4295600537783502e-06
1.6320819847666933e-02 2.5236682294495316e-17 4.4239412251344377e-06
1.6360057426523394e-02 2.5297354878400297e-17 4.4183295238880354e-06
1.6399389338116129e-02 2.5358173327851104e-17 4.4127745847159771e-06
1.6438815809234498e-02 2.5419137993529320e-17 4.4073658507571237e-06
1.6478337067213085e-02 2.5480249226959603e-17 4.4019637462787653e-06
1.6517953339933018e-02 2.5541507380511730e-17 4.3965682631551529e-06
1.6557664855823304e-02 2.5602912807402663e-17 4.3911793932704988e-06
1.6597471843862087e-02 2.5664465861698470e-17 4.3857971285189612e-06
1.6637374533578039e-02 2.5726166898316507e-17 4.3804214608046330e-06
1.6677373155051644e-02 2.5788016273027391e-17 4.3750523820415335e-06
1.6717467938916531e-02 2.5850014342457048e-17 4.3696898841535899e-06
1.6757659116360801e-02 2.5912161464088792e-17 4.3643339590746295e-06
1.6797946919128375e-02 2.5974457996265387e-17 4.3589845987483658e-06
1.6838331579520305e-02 2.6036904298191079e-17 4.3536417951283952e-06
1.6878813330396140e-02 2.6099500729933712e-17 4.3483055401781528e-06
1.6919392405175253e-02 2.6162247652426790e-17 4.3429758258709477e-06
1.6960069037838189e-02 2.6225145427471536e-17 4.3376526441899189e-06
1.7000843462928010e-02 2.6288194417738998e-17 4.3323359871280335e-06
1.7041715915551665e-02 2.6351394986772144e-17 4.3270258466880705e-06
1.7082686631381325e-02 2.6414747498987943e-17 4.3217222148826117e-06
1.7123755846655757e-02 2.6478252319679485e-17 4.3164250837340306e-06
1.7164923798181669e-02 2.6541909815018062e-17 4.3112353995393030e-06
1.7206190723335100e-02 2.6605720352055316e-17 4.3061314353422800e-06
1.7247556860062761e-02 2.6669684298725303e-17 4.3010335136013306e-06
1.7289022446883434e-02 2.6733802023846674e-17 4.2959416271629337e-06
1.7330587722889326e-02 2.6798073897124760e-17 4.2908557688820606e-06
1.7372252927747463e-02 2.6862500289153723e-17 4.2857759316221107e-06
1.7414018301701046e-02 2.6927081571418660e-17 4.2807021082549611e-06
1.7455884085570875e-02 2.6991818116297799e-17 4.2756342916609010e-06
1.7497850520756711e-02 2.7056710297064621e-17 4.2705724747286746e-06
1.7539917849238675e-02 2.7121758487889986e-17 4.2655166503554245e-06
1.7582086313578639e-02 2.7186963063844334e-17 4.2604668114467033e-06
1.7624356156921636e-02 2.7252324400899825e-17 4.2554229509164816e-06
1.7666727622997244e-02 2.7317842875932496e-17 4.2503850616870927e-06
1.7709200956121010e-02 2.7383518866724465e-17 4.2453531366892759e-06
1.7751776401195851e-02 2.7449352751966087e-17 4.2403271688621196e-06
1.7794454203713457e-02 2.7515344911258135e-17 4.2353071511530700e-06
1.7837234609755726e-02 2.7581495725114006e-17 4.2302930765179461e-06
1.7880117865996161e-02 2.7647805574961897e-17 4.2252849379208738e-06
1.7923104219701308e-02 2.7714274843147016e-17 4.2202827283343426e-06
1.7966193918732182e-02 2.7780903912933793e-17 4.2154338824435490e-06
1.8009387211545696e-02 2.7847693168508084e-17 4.2106154198891272e-06
1.8052684347196056e-02 2.7914642994979332e-17 4.2058024650907439e-06
1.8096085575336270e-02 2.7981753778382900e-17 4.2009950117527293e-06
1.8139591146219523e-02 2.8049025905682211e-17 4.1961930535866396e-06
1.8183201310700659e-02 2.8116459764771000e-17 4.1913965843111903e-06
1.8226916320237603e-02 2.8184055744475560e-17 4.1866055976523049e-06
1.8270736426892822e-02 2.8251814234556976e-17 4.1818200873430492e-06
1.8314661883334787e-02 2.8319735625713378e-17 4.1770400471236830e-06
1.8358692942839403e-02 2.8387820309582172e-17 4.1722654707415911e-06
1.8402829859291502e-02 2.8456068678742352e-17 4.1674963519513352e-06
1.8447072887186278e-02 2.8524481126716682e-17 4.1627326845145864e-06
1.8491422281630778e-02 2.8593058047974047e-17 4.1579744622001748e-06
1.8535878298345364e-02 2.8661799837931691e-17 4.1532216787840251e-06
1.8580441193665174e-02 2.8730706892957460e-17 4.1484743280492061e-06
1.8625111224541625e-02 2.8799779610372173e-17 4.1437324037858616e-06
1.8669888648543874e-02 2.8869018388451827e-17 4.1389958997912644e-06
1.8714773723860312e-02 2.8938423626429958e-17 4.1342648098697479e-06
1.8759766709300057e-02 2.9007995724499888e-17 4.1295642344645382e-06
1.8804867864294434e-02 2.9077735083817103e-17 4.1250084641720261e-06
1.8850077448898488e-02 2.9147642106501490e-17 4.1204577198439390e-06
1.8895395723792455e-02 2.9217717195639678e-17 4.1159119959356032e-06
1.8940822950283306e-02 2.9287960755287424e-17 4.1113712869084347e-06
1.8986359390306216e-02 2.9358373190471845e-17 4.1068355872299887e-06
1.9032005306426101e-02 2.9428954907193844e-17 4.1023048913738945e-06
1.9077760961839101e-02 2.9499706312430349e-17 4.0977791938199010e-06
1.9123626620374132e-02 2.9570627814136766e-17 4.0932584890538458e-06
1.9169602546494392e-02 2.9641719821249263e-17 4.0887427715676279e-06
1.9215689005298887e-02 2.9712982743687169e-17 4.0842320358592523e-06
1.9261886262523953e-02 2.9784416992355312e-17 4.0797262764327662e-06
1.9308194584544799e-02 2.9856022979146368e-17 4.0752254877983059e-06
1.9354614238377033e-02 2.9927801116943289e-17 4.0707296644720378e-06
1.9401145491678210e-02 2.9999751819621646e-17 4.0662388009762066e-06
1.9447788612749373e-02 3.0071875502052024e-17 4.0617528918390710e-06
1.9494543870536597e-02 3.0144172580102430e-17 4.0572719315949543e-06
1.9541411534632545e-02 3.0216643470640664e-17 4.0527959147841812e-06
1.9588391875278010e-02 3.0289288591536740e-17 4.0483248359531215e-06
1.9635485163363494e-02 3.0362108361665283e-17 4.0439293185253199e-06
1.9682691670430762e-02 3.0435103200907982e-17 4.0396251485030745e-06
1.9730011668674375e-02 3.0508273530155921e-17 4.0353255596389358e-06
1.9777445430943320e-02 3.0581619771312133e-17 4.0310305470569325e-06
1.9824993230742539e-02 3.0655142347293922e-17 4.0267401058862896e-06
1.9872655342234518e-02 3.0728841682035355e-17 4.0224542312613966e-06
1.9920432040240878e-02 3.0802718200489724e-17 4.0181729183218481e-06
1.9968323600243941e-02 3.0876772328631935e-17 4.0138961622123851e-06
2.0016330298388327e-02 3.0951004493461005e-17 4.0096239580829376e-06
2.0064452411482556e-02 3.1025415123002541e-17 4.0053563010885882e-06
2.0112690217000628e-02 3.1100004646311152e-17 4.0010931863895870e-06
2.0161043993083633e-02 3.1174773493472979e-17 3.9968346091513107e-06
