# Figure-8-style primordial GW spectrum
# V_inf^(1/4) = 1.50000000e+16 GeV
# h = 0.675
# P_T = 9.7269832849655301e-11
# 
# Columns:
# 1: f [Hz]
# 2: k [Mpc^-1]
# 3: Omega_GW h^2
3.8147121314419641e-17 2.4670132445085292e-02 1.6314731041126044e-16
3.8515346341157008e-17 2.4908267325679075e-02 1.6257049484438731e-16
3.8887125755896499e-17 2.5148700865247699e-02 1.6199571863812212e-16
3.9262493868294324e-17 2.5391455252195778e-02 1.6142297458220282e-16
3.9641485319189552e-17 2.5636552889107274e-02 1.6085225549185860e-16
4.0024135083801023e-17 2.5884016394812939e-02 1.6030092902473591e-16
4.0410478474954931e-17 2.6133868606477664e-02 1.5975524494932195e-16
4.0800551146343780e-17 2.6386132581708046e-02 1.5921141844960622e-16
4.1194389095816600e-17 2.6640831600680221e-02 1.5866944320217236e-16
4.1592028668701030e-17 2.6897989168288290e-02 1.5813228322436120e-16
4.1993506561157479e-17 2.7157629016313481e-02 1.5761415642161324e-16
4.2398859823565599e-17 2.7419775105614209e-02 1.5709772728222848e-16
4.2808125863943452e-17 2.7684451628337322e-02 1.5658299024374392e-16
4.3221342451399791e-17 2.7951683010150673e-02 1.5606993976192323e-16
4.3638547719619482e-17 2.8221493912497231e-02 1.5556767972217845e-16
4.4059780170382749e-17 2.8493909234870968e-02 1.5507721081484311e-16
4.4485078677118276e-17 2.8768954117114717e-02 1.5458828824251442e-16
4.4914482488490642e-17 2.9046653941740181e-02 1.5410090712995611e-16
4.5348031232022387e-17 2.9327034336270381e-02 1.5361506261730157e-16
4.5785764917751025e-17 2.9610121175604673e-02 1.5314543116791273e-16
4.6227723941921389e-17 2.9895940584406623e-02 1.5268097655653801e-16
4.6673949090713610e-17 3.0184518939514921e-02 1.5221793052839256e-16
4.7124481544007014e-17 3.0475882872377558e-02 1.5175628881157035e-16
4.7579362879180451e-17 3.0770059271509519e-02 1.5129818721538177e-16
4.8038635074949280e-17 3.1067075284974186e-02 1.5085692630851194e-16
4.8502340515239296e-17 3.1366958322888695e-02 1.5041695233832995e-16
4.8970521993098230e-17 3.1669736059953477e-02 1.4997826155148685e-16
4.9443222714644819e-17 3.1975436438006211e-02 1.4954085020558120e-16
4.9920486303056139e-17 3.2284087668600463e-02 1.4911222583413532e-16
5.0402356802593321e-17 3.2595718235609153e-02 1.4869412848977429e-16
5.0888878682666252e-17 3.2910356897853217e-02 1.4827720345297171e-16
5.1380096841937327e-17 3.3228032691755588e-02 1.4786144743668175e-16
5.1876056612464982e-17 3.3548774934020843e-02 1.4744685716307549e-16
5.2376803763887227e-17 3.3872613224340702e-02 1.4704581717271264e-16
5.2882384507645345e-17 3.4199577448125594e-02 1.4664953762584985e-16
5.3392845501248607e-17 3.4529697779262673e-02 1.4625432602829892e-16
5.3908233852580121e-17 3.4863004682900413e-02 1.4586017950200104e-16
5.4428597124244003e-17 3.5199528918260038e-02 1.4546856875929050e-16
5.4953983337954871e-17 3.5539301541474194e-02 1.4509187340571982e-16
5.5484440978969431e-17 3.5882353908452930e-02 1.4471615351640679e-16
5.6020019000560964e-17 3.6228717677777390e-02 1.4434140656535608e-16
5.6560766828536954e-17 3.6578424813621412e-02 1.4396763003311452e-16
5.7106734365800416e-17 3.6931507588701354e-02 1.4360099325906987e-16
5.7657971996955090e-17 3.7287998587254380e-02 1.4324376756524244e-16
5.8214530592955248e-17 3.7647930708045486e-02 1.4288743051566068e-16
5.8776461515800309e-17 3.8011337167403569e-02 1.4253197989970926e-16
5.9343816623274766e-17 3.8378251502286805e-02 1.4217741351227203e-16
5.9916648273733827e-17 3.8748707573377554e-02 1.4183416687227155e-16
6.0495009330935520e-17 3.9122739568207318e-02 1.4149530275620264e-16
6.1078953168918946e-17 3.9500382004311579e-02 1.4115724823976468e-16
6.1668533676930013e-17 3.9881669732415345e-02 1.4082000138869697e-16
6.2263805264394675e-17 4.0266637939649332e-02 1.4048450309748393e-16
6.2864822865940045e-17 4.0655322152797199e-02 1.4016222400075831e-16
6.3471641946463956e-17 4.1047758241574132e-02 1.3984068422982213e-16
6.4084318506253712e-17 4.1443982421937101e-02 1.3951988208862220e-16
6.4702909086153947e-17 4.1844031259427025e-02 1.3919981588499532e-16
6.5327470772784492e-17 4.2247941672543241e-02 1.3888553504270256e-16
6.5958061203808725e-17 4.2655750936150517e-02 1.3857967494481808e-16
6.6594738573252495e-17 4.3067496684918966e-02 1.3827448842607523e-16
6.7237561636874735e-17 4.3483216916797150e-02 1.3796997400308714e-16
6.7886589717589561e-17 4.3902949996518739e-02 1.3766613019573366e-16
6.8541882710941043e-17 4.4326734659142983e-02 1.3737173718006887e-16
6.9203501090630566e-17 4.4754610013629390e-02 1.3708137984371337e-16
6.9871505914097654e-17 4.5186615546446873e-02 1.3679163622444796e-16
7.0545958828154726e-17 4.5622791125217797e-02 1.3650250502508232e-16
7.1226922074676054e-17 4.6063177002397114e-02 1.3621450923504010e-16
7.1914458496341879e-17 4.6507813818987109e-02 1.3593823529699720e-16
7.2608631542437737e-17 4.6956742608287902e-02 1.3566252170519989e-16
7.3309505274709944e-17 4.7410004799684262e-02 1.3538736732313876e-16
7.4017144373277487e-17 4.7867642222468858e-02 1.3511277101660962e-16
